salary,age,credit score,debt,approved
95000,37,738,20000,1
100000,35,814,62000,1
60000,59,679,138000,0
25000,22,728,10000,1
165000,32,835,11000,1
80000,53,672,82000,0
150000,62,678,77000,0
130000,82,683,96000,0
175000,71,824,78000,1
130000,77,665,63000,1
90000,32,675,126000,0
240000,26,809,80000,1
230000,83,790,41000,1
100000,86,844,16000,1
95000,41,678,71000,1
110000,42,721,69000,1
30000,26,401,111000,0
95000,87,489,89000,0
130000,23,839,8000,1
50000,28,329,123000,0
30000,71,489,85000,0
40000,31,595,123000,0
85000,72,589,64000,0
70000,58,313,64000,0
215000,23,654,64000,1
30000,28,312,82000,0
200000,57,757,72000,1
25000,20,751,19000,1
130000,84,508,50000,0
65000,55,462,104000,0
45000,57,689,65000,0
55000,36,396,64000,0
150000,61,475,72000,0
95000,63,685,145000,0
30000,70,796,26000,1
35000,34,748,34000,1
50000,89,684,57000,1
140000,23,584,100000,0
145000,61,485,56000,0
85000,39,680,130000,0
80000,32,344,120000,0
230000,34,728,81000,1
115000,38,592,115000,0
135000,65,801,59000,1
135000,24,714,82000,1
185000,36,741,26000,1
55000,61,300,127000,0
100000,19,661,14000,1
25000,47,367,128000,0
70000,76,727,21000,1
30000,37,704,41000,1
30000,90,413,111000,0
105000,57,712,99000,1
130000,46,774,49000,1
80000,58,824,83000,1
75000,50,714,12000,1
195000,62,730,84000,1
75000,89,747,99000,1
140000,85,563,125000,0
30000,64,663,50000,0
200000,32,819,63000,1
250000,78,797,81000,1
35000,67,772,94000,1
115000,28,400,60000,0
55000,28,551,114000,0
140000,83,838,81000,1
110000,31,717,63000,1
90000,36,673,110000,0
120000,60,686,26000,1
25000,49,316,80000,0
65000,20,564,61000,0
65000,28,711,99000,1
135000,55,752,96000,1
130000,76,357,60000,0
70000,59,604,125000,0
110000,19,617,115000,0
30000,56,727,40000,1
170000,64,768,81000,1
190000,19,749,64000,1
105000,69,808,89000,1
145000,49,669,122000,0
45000,32,334,61000,0
110000,48,625,77000,0
125000,21,567,87000,0
195000,26,761,90000,1
70000,33,484,93000,0
160000,51,811,89000,1
125000,47,617,91000,0
95000,32,678,127000,0
235000,67,685,73000,1
140000,57,335,66000,0
130000,72,668,77000,0
135000,45,518,141000,0
135000,69,795,20000,1
85000,25,657,98000,0
155000,68,773,65000,1
55000,57,808,72000,1
140000,32,706,58000,1
135000,89,535,141000,0
160000,57,656,51000,1
125000,29,353,68000,0
120000,18,348,68000,0
165000,25,678,84000,1
70000,30,486,72000,0
235000,34,824,75000,1
65000,81,564,118000,0
25000,72,450,149000,0
115000,54,386,75000,0
130000,55,697,90000,1
145000,87,836,23000,1
200000,58,811,39000,1
55000,65,486,97000,0
75000,29,471,131000,0
40000,76,741,85000,1
220000,58,755,99000,1
45000,90,804,34000,1
25000,66,646,115000,0
55000,39,733,80000,1
105000,33,714,60000,1
195000,23,662,36000,1
65000,38,722,91000,1
105000,86,721,51000,1
135000,77,656,23000,1
135000,30,831,78000,1
130000,58,633,53000,0
95000,39,654,146000,0
80000,43,513,136000,0
30000,68,694,97000,1
215000,65,846,56000,1
80000,71,740,19000,1
55000,75,511,84000,0
110000,74,448,94000,0
215000,66,793,66000,1
120000,60,447,129000,0
105000,36,620,51000,0
120000,66,360,99000,0
85000,28,569,51000,0
90000,28,723,30000,1
160000,27,845,34000,1
220000,28,840,10000,1
180000,53,765,2000,1
120000,25,820,27000,1
145000,75,539,123000,0
150000,75,811,27000,1
135000,22,540,115000,0
145000,77,714,85000,1
120000,78,819,95000,1
55000,34,748,61000,1
215000,78,734,71000,1
85000,21,650,91000,1
40000,67,699,16000,1
110000,23,659,82000,0
135000,74,809,89000,1
130000,18,800,87000,1
190000,59,838,69000,1
